description,injuryType,bodyPart,side
arizona diamondbacks placed 3b eric chavez on the 15-day disabled list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed 3b eric chavez on the 15-day disabled list. sprained left knee,sprain,knee,left
"arizona diamondbacks placed 3b geoff blum on the 15-day disabled list retroactive to april 17, 2012. strained left oblique.",strain,oblique,left
arizona diamondbacks placed 3b jake lamb on the 10-day disabled list. left ac joint sprain.,sprain,ac joint,left
arizona diamondbacks placed 3b jake lamb on the 10-day disabled list. left shoulder contusion.,contusion,shoulder,left
"arizona diamondbacks placed 3b jake lamb on the 15-day disabled list retroactive to april 19, 2015. left foot stress reaction",stress,foot,left
"arizona diamondbacks placed 3b jake lamb on the 15-day disabled list retroactive to april 19, 2015. left foot stress reaction",stress reaction,foot,left
"arizona diamondbacks placed c alex avila on the 10-day disabled list retroactive to june 24, 2018. strained right hamstring.",strain,hamstring,right
arizona diamondbacks placed c alex avila on the 10-day injured list. strained left calf.,injured,calf,left
arizona diamondbacks placed c alex avila on the 10-day injured list. strained left calf.,strain,calf,left
arizona diamondbacks placed c alex avila on the 10-day injured list. strained left quadriceps.,injured,quad,left
arizona diamondbacks placed c alex avila on the 10-day injured list. strained left quadriceps.,injured,quadricep,left
arizona diamondbacks placed c alex avila on the 10-day injured list. strained left quadriceps.,strain,quad,left
arizona diamondbacks placed c alex avila on the 10-day injured list. strained left quadriceps.,strain,quadricep,left
arizona diamondbacks placed c chris herrmann on the 15-day disabled list. strained right hamstring.,strain,hamstring,right
"arizona diamondbacks placed c chris iannetta on the 7-day disabled list retroactive to may 13, 2017. concussion.",concussion,concussion,NA
"arizona diamondbacks placed c chris snyder on the 15-day disabled list retroactive to august 23, 2009. lower back inflammation.",inflammation,lower back,NA
"arizona diamondbacks placed c chris snyder on the 15-day disabled list retroactive to june 21, 2009. lower back strain.",strain,lower back,NA
"arizona diamondbacks placed c gerald laird on the 15-day disabled list retroactive to april 9, 2015. lower back spasms.",spasm,lower back,NA
arizona diamondbacks placed c henry blanco on the 15-day disabled list. sprained left thumb.,sprain,thumb,left
"arizona diamondbacks placed c jarrod saltalamacchia on the 15-day disabled list retroactive to july 12, 2015. strained left neck.",strain,neck,left
arizona diamondbacks placed c jeff mathis on the 10-day disabled list. fractured right hand.,fracture,hand,right
"arizona diamondbacks placed c miguel montero on the 15-day disabled list retroactive to july 29, 2013. lower back strain",strain,lower back,NA
arizona diamondbacks placed c miguel montero on the 15-day disabled list. right knee sprain,sprain,knee,right
"arizona diamondbacks placed c oscar hernandez on the 15-day disabled list retroactive to march 27, 2015. broken left hamate bone",broken,hamate,left
"arizona diamondbacks placed c tuffy gosewisch on the 15-day disabled list retroactive to may 28, 2015. left knee acl injury",injury,acl,left
"arizona diamondbacks placed c tuffy gosewisch on the 15-day disabled list retroactive to may 28, 2015. left knee acl injury",injury,knee,left
arizona diamondbacks placed cf a.j. pollock on the 10-day disabled list. left thumb avulsion fracture.,fracture,thumb,left
arizona diamondbacks placed cf a.j. pollock on the 10-day disabled list. right groin strain.,strain,groin,right
arizona diamondbacks placed cf a.j. pollock on the 15-day disabled list. fractured fourth metacarpel,fracture,fourth metacarpel,NA
arizona diamondbacks placed cf a.j. pollock on the 15-day disabled list. fractured right elbow,fracture,elbow,right
arizona diamondbacks placed cf a.j. pollock on the 15-day disabled list. fractured right hand,fracture,hand,right
"arizona diamondbacks placed cf adam eaton on the 15-day disabled list retroactive to march 22, 2013. left elbow strain.",strain,elbow,left
"arizona diamondbacks placed cf chris owings on the 15-day disabled list retroactive to june 6, 2016. plantar fasciitis in left foot.",plantar fasciitis,foot,left
"arizona diamondbacks placed cf chris owings on the 15-day disabled list retroactive to june 6, 2016. plantar fasciitis in left foot.",plantar fasciitis,plantar,left
arizona diamondbacks placed cf ender inciarte on the 7-day disabled list. concussion,concussion,concussion,NA
arizona diamondbacks placed cf jarrod dyson on the 10-day disabled list. right groin strain.,strain,groin,right
arizona diamondbacks placed cf rey fuentes on the 10-day disabled list. left thumb contusion.,contusion,thumb,left
arizona diamondbacks placed cf socrates brito on the 60-day disabled list. dislocated ring finger on left hand,dislocate,hand,left
arizona diamondbacks placed cf socrates brito on the 60-day disabled list. dislocated ring finger on left hand,dislocate,ring finger,left
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,injured,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
arizona diamondbacks placed lf blake swihart on the 10-day injured list. right oblique strain.,strain,oblique,right
"arizona diamondbacks placed lf cody ross on the 15-day disabled list retroactive to march 22, 2013. left calf strain.",strain,calf,left
arizona diamondbacks placed lf cody ross on the 15-day disabled list. left calf strain.,strain,calf,left
arizona diamondbacks placed lf cody ross on the 15-day disabled list. recovering from august 2013 right hip fracture,fracture,hip,right
arizona diamondbacks placed lf conor jackson on the 15-day disabled list. general illness,illness,NA,NA
arizona diamondbacks placed lf conor jackson on the 15-day disabled list. right hamstring strain,strain,hamstring,right
"arizona diamondbacks placed lf david peralta on the 10-day injured list retroactive to august 22, 2017. right ac joint inflammation",inflammation,ac joint,right
"arizona diamondbacks placed lf david peralta on the 10-day injured list retroactive to august 22, 2017. right ac joint inflammation",injured,ac joint,right
"arizona diamondbacks placed lf david peralta on the 10-day injured list retroactive to july 4, 2019. right ac joint inflammation",inflammation,ac joint,right
"arizona diamondbacks placed lf david peralta on the 10-day injured list retroactive to july 4, 2019. right ac joint inflammation",injured,ac joint,right
arizona diamondbacks placed lf ender inciarte on the 15-day disabled list. right hamstring strain,strain,hamstring,right
arizona diamondbacks placed lf eric byrnes on the 15-day disabled list. fractured left hand,fracture,hand,left
arizona diamondbacks placed lf jason kubel on the 15-day disabled list. strained left quadriceps.,strain,quad,left
arizona diamondbacks placed lf jason kubel on the 15-day disabled list. strained left quadriceps.,strain,quadricep,left
"arizona diamondbacks placed lf mark trumbo on the 15-day disabled list retroactive to april 22, 2014. stress fracture in left foot.",fracture,foot,left
"arizona diamondbacks placed lf mark trumbo on the 15-day disabled list retroactive to april 22, 2014. stress fracture in left foot.",stress,foot,left
"arizona diamondbacks placed lf willie bloomquist on the 15-day disabled list retroactive to april 22, 2011. strained right hamstring",strain,hamstring,right
"arizona diamondbacks placed lf yasmany tomas on the 10-day disabled list retroactive to june 3, 2017. right groin tendinitis.",tendinitis,groin,right
arizona diamondbacks placed lhp alberto castillo on the 15-day disabled list. left shoulder tendonitis,tendonitis,shoulder,left
"arizona diamondbacks placed lhp andrew chafin on the 15-day disabled list retroactive to july 4, 2016. left shoulder tendinitis.",tendinitis,shoulder,left
arizona diamondbacks placed lhp jorge de la rosa on the 10-day disabled list. right achilles tendon bursitis.,bursitis,achilles,right
arizona diamondbacks placed lhp matt reynolds on the 15-day disabled list. recovering from september 2013 tommy john surgery,surgery,tommy john,NA
arizona diamondbacks placed lhp matt reynolds on the 15-day disabled list. strained left elbow.,strain,elbow,left
"arizona diamondbacks placed lhp patrick corbin on the 15-day disabled list retroactive to march 19, 2014. recovering from march 2014 tommy john surgery",surgery,tommy john,NA
"arizona diamondbacks placed lhp patrick corbin on the 15-day disabled list retroactive to march 27, 2015. recovering from march 2014 tommy john surgery",surgery,tommy john,NA
arizona diamondbacks placed lhp robbie ray on the 10-day disabled list. concussion.,concussion,concussion,NA
arizona diamondbacks placed lhp robbie ray on the 10-day disabled list. strained right oblique.,strain,oblique,right
arizona diamondbacks placed lhp robbie ray on the 7-day disabled list. concussion.,concussion,concussion,NA
arizona diamondbacks placed lhp steve hathaway on the 10-day disabled list. left shoulder injury.,injury,shoulder,left
arizona diamondbacks placed lhp t.j. mcfarland on the 10-day disabled list. left ankle contusion.,contusion,ankle,left
arizona diamondbacks placed lhp t.j. mcfarland on the 10-day disabled list. left neck strain.,strain,neck,left
arizona diamondbacks placed lhp t.j. mcfarland on the 10-day injured list. left shoulder inflammation.,inflammation,shoulder,left
arizona diamondbacks placed lhp t.j. mcfarland on the 10-day injured list. left shoulder inflammation.,injured,shoulder,left
"arizona diamondbacks placed lhp zach duke on the 15-day disabled list retroactive to march 22, 2011. broken left hand.",broken,hand,left
arizona diamondbacks placed rf cody ross on the 15-day disabled list. dislocated right hip,dislocate,hip,right
"arizona diamondbacks placed rf david peralta on the 15-day disabled list retroactive to august 6, 2016. right wrist inflammation.",inflammation,wrist,right
"arizona diamondbacks placed rf david peralta on the 15-day disabled list retroactive to june 15, 2016. low back sprain",sprain,low back,NA
"arizona diamondbacks placed rf david peralta on the 15-day disabled list retroactive to may 9, 2016. right wrist inflammation",inflammation,wrist,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
arizona diamondbacks placed rf steven souza jr. on the 10-day disabled list. right pectoral strain.,strain,pectoral,right
"arizona diamondbacks placed rf steven souza jr. on the 10-day injured list retroactive to march 26, 2019. left knee injury.",injured,knee,left
"arizona diamondbacks placed rf steven souza jr. on the 10-day injured list retroactive to march 26, 2019. left knee injury.",injury,knee,left
"arizona diamondbacks placed rhp aaron heilman on the 15-day disabled list retroactive to april 14, 2011. right shoulder tendinitis",tendinitis,shoulder,right
"arizona diamondbacks placed rhp archie bradley on the 15-day disabled list retroactive to june 2, 2015. right shoulder tendinitis",tendinitis,shoulder,right
arizona diamondbacks placed rhp archie bradley on the 15-day disabled list. right sinus fracture.,fracture,sinus,right
"arizona diamondbacks placed rhp braden shipley on the 10-day disabled list retroactive to may 5, 2018. right elbow inflammation.",inflammation,elbow,right
"arizona diamondbacks placed rhp braden shipley on the 10-day disabled list retroactive to may 5, 2018. right elbow inflammation.",inflammation,hip,right
"arizona diamondbacks placed rhp brandon mccarthy on the 15-day disabled list retroactive to may 31, 2013. inflammation of right shoulder.",inflammation,shoulder,right
"arizona diamondbacks placed rhp brandon webb on the 15-day disabled list retroactive to april 7, 2009. sore right shoulder",sore,shoulder,right
"arizona diamondbacks placed rhp brandon webb on the 15-day disabled list retroactive to march 26, 2010. recovering from august 2009 right shoulder surgery.",surgery,shoulder,right
arizona diamondbacks placed rhp bronson arroyo on the 15-day disabled list. right elbow tendonitis,tendonitis,elbow,right
arizona diamondbacks placed rhp bronson arroyo on the 60-day disabled list. recovering from july 2014 tommy john surgery,surgery,tommy john,NA
arizona diamondbacks placed rhp chase anderson on the 15-day disabled list. right triceps inflammation.,inflammation,tricep,right
arizona diamondbacks placed rhp clay buchholz on the 10-day disabled list. strained left oblique.,strain,oblique,left
arizona diamondbacks placed rhp clay buchholz on the 60-day disabled list. right elbow flexor strain.,strain,elbow,right
arizona diamondbacks placed rhp clay buchholz on the 60-day disabled list. right elbow flexor strain.,strain,flexor,right
"arizona diamondbacks placed rhp daniel hudson on the 15-day disabled list retroactive to april 19, 2012. right shoulder impingement",impingement,shoulder,right
"arizona diamondbacks placed rhp daniel hudson on the 15-day disabled list retroactive to march 29, 2014. recovering from june 2013 tommy john surgery",surgery,tommy john,NA
arizona diamondbacks placed rhp daniel hudson on the 15-day disabled list. sore right elbow.,sore,elbow,right
arizona diamondbacks placed rhp daniel hudson on the 60-day disabled list. recovering from july 2012 tommy john surgery.,surgery,tommy john,NA
"arizona diamondbacks placed rhp david hernandez on the 15-day disabled list retroactive to march 27, 2014. torn right elbow ligament",torn,elbow,right
"arizona diamondbacks placed rhp david hernandez on the 15-day disabled list retroactive to march 27, 2015. recovering from april 2014 tommy john surgery",surgery,tommy john,NA
arizona diamondbacks placed rhp enrique burgos on the 15-day disabled list. right shoulder tendinitis.,tendinitis,shoulder,right
arizona diamondbacks placed rhp evan marshall on the 60-day disabled list. skull fracture,fracture,skull,NA
arizona diamondbacks placed rhp j.j. hoover on the 10-day disabled list. right shoulder inflammation.,inflammation,shoulder,right
"arizona diamondbacks placed rhp j.j. putz on the 15-day disabled list retroactive to june 29, 2011. right elbow tendinitis",tendinitis,elbow,right
"arizona diamondbacks placed rhp j.j. putz on the 15-day disabled list retroactive to may 4, 2014. right forearm tightness",tight,arm,right
"arizona diamondbacks placed rhp j.j. putz on the 15-day disabled list retroactive to may 4, 2014. right forearm tightness",tight,ear,right
"arizona diamondbacks placed rhp j.j. putz on the 15-day disabled list retroactive to may 4, 2014. right forearm tightness",tight,forearm,right
arizona diamondbacks placed rhp j.j. putz on the 15-day disabled list. dislocated right pinky finger.,dislocate,pinky,right
arizona diamondbacks placed rhp j.j. putz on the 15-day disabled list. right elbow strain.,strain,elbow,right
arizona diamondbacks placed rhp jake barrett on the 10-day disabled list. shoulder injury.,injury,shoulder,NA
"arizona diamondbacks placed rhp jeremy hellickson on the 15-day disabled list retroactive to august 19, 2015. strained left hamstring",strain,hamstring,left
arizona diamondbacks placed rhp jon duplantier on the 10-day injured list. right shoulder inflammation.,inflammation,shoulder,right
arizona diamondbacks placed rhp jon duplantier on the 10-day injured list. right shoulder inflammation.,injured,shoulder,right
"arizona diamondbacks placed rhp josh collmenter on the 15-day disabled list retroactive to march 28, 2016. right shoulder tightness",tight,shoulder,right
arizona diamondbacks placed rhp juan gutierrez on the 15-day disabled list. inflammation in his right shoulder.,inflammation,shoulder,right
arizona diamondbacks placed rhp juan gutierrez on the 15-day disabled list. right shoulder inflammation,inflammation,shoulder,right
arizona diamondbacks placed rhp kris benson on the 15-day disabled list. right shoulder soreness.,sore,shoulder,right
arizona diamondbacks placed rhp leo rosales on the 15-day disabled list. sprained right foot.,sprain,foot,right
arizona diamondbacks placed rhp luke weaver on the 10-day injured list. right forearm tightness.,injured,arm,right
arizona diamondbacks placed rhp luke weaver on the 10-day injured list. right forearm tightness.,injured,ear,right
arizona diamondbacks placed rhp luke weaver on the 10-day injured list. right forearm tightness.,injured,forearm,right
arizona diamondbacks placed rhp luke weaver on the 10-day injured list. right forearm tightness.,tight,arm,right
arizona diamondbacks placed rhp luke weaver on the 10-day injured list. right forearm tightness.,tight,ear,right
arizona diamondbacks placed rhp luke weaver on the 10-day injured list. right forearm tightness.,tight,forearm,right
arizona diamondbacks placed rhp matt andriese on the 10-day injured list. left foot contusion.,contusion,foot,left
arizona diamondbacks placed rhp matt andriese on the 10-day injured list. left foot contusion.,injured,foot,left
arizona diamondbacks placed rhp randall delgado on the 10-day disabled list. left oblique strain.,strain,oblique,left
arizona diamondbacks placed rhp randall delgado on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
"arizona diamondbacks placed rhp randall delgado on the 15-day disabled list retroactive to july 28, 2015. sprained right ankle .",sprain,ankle,right
arizona diamondbacks placed rhp rubby de la rosa on the 10-day disabled list. shoulder inflammation,inflammation,shoulder,NA
"arizona diamondbacks placed rhp rubby de la rosa on the 15-day disabled list retroactive to may 26, 2015. right elbow inflammation.",inflammation,elbow,right
"arizona diamondbacks placed rhp sam demel on the 15-day disabled list retroactive to may 22, 2011. right shoulder tendinitis.",tendinitis,shoulder,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
arizona diamondbacks placed rhp shelby miller on the 10-day disabled list. right elbow inflammation.,inflammation,elbow,right
"arizona diamondbacks placed rhp shelby miller on the 15-day disabled list retroactive to may 25, 2016. sprained right index finger",sprain,index,right
arizona diamondbacks placed rhp shelby miller on the 60-day disabled list. recovery from tommy john surgery.,recovery,tommy john,NA
arizona diamondbacks placed rhp shelby miller on the 60-day disabled list. recovery from tommy john surgery.,surgery,tommy john,NA
arizona diamondbacks placed rhp silvino bracho on the 60-day injured list. torn right ulnar collateral ligament,injured,lat,right
arizona diamondbacks placed rhp silvino bracho on the 60-day injured list. torn right ulnar collateral ligament,injured,ulna,right
arizona diamondbacks placed rhp silvino bracho on the 60-day injured list. torn right ulnar collateral ligament,torn,lat,right
arizona diamondbacks placed rhp silvino bracho on the 60-day injured list. torn right ulnar collateral ligament,torn,ulna,right
"arizona diamondbacks placed rhp taijuan walker on the 10-day disabled list retroactive to may 20, 2017. right index finger blister.",blister,index,right
arizona diamondbacks placed rhp taijuan walker on the 10-day disabled list. right forearm inflammation,inflammation,arm,right
arizona diamondbacks placed rhp taijuan walker on the 10-day disabled list. right forearm inflammation,inflammation,ear,right
arizona diamondbacks placed rhp taijuan walker on the 10-day disabled list. right forearm inflammation,inflammation,forearm,right
arizona diamondbacks placed rhp taijuan walker on the 60-day injured list. recovery from tommy john surgery.,injured,tommy john,NA
arizona diamondbacks placed rhp taijuan walker on the 60-day injured list. recovery from tommy john surgery.,recovery,tommy john,NA
arizona diamondbacks placed rhp taijuan walker on the 60-day injured list. recovery from tommy john surgery.,surgery,tommy john,NA
"arizona diamondbacks placed rhp takashi saito on the 15-day disabled list retroactive to april 1, 2012. calf strain.",strain,calf,NA
"arizona diamondbacks placed rhp takashi saito on the 15-day disabled list retroactive to august 13, 2012. strained left hamstring.",strain,hamstring,left
arizona diamondbacks placed rhp taylor clarke on the 10-day injured list. lower back inflammation.,inflammation,lower back,NA
arizona diamondbacks placed rhp taylor clarke on the 10-day injured list. lower back inflammation.,injured,lower back,NA
arizona diamondbacks placed rhp tom gordon on the 15-day disabled list. left hamstring strain,strain,hamstring,left
arizona diamondbacks placed rhp trevor cahill on the 15-day disabled list. right hip contusion.,contusion,hip,right
arizona diamondbacks placed rhp yusmeiro petit on the 15-day disabled list. right shoulder strain,strain,shoulder,right
"arizona diamondbacks placed rhp zack greinke on the 15-day disabled list retroactive to june 29, 2016. left oblique strain.",strain,oblique,left
"arizona diamondbacks placed ss chris owings on the 15-day disabled list retroactive to june 26, 2014. left shoulder strain",strain,shoulder,left
arizona diamondbacks placed ss chris owings on the 60-day disabled list. fractured right middle finger.,fracture,middle finger,right
"arizona diamondbacks placed ss cliff pennington on the 15-day disabled list retroactive to june 2, 2014. left thumb sprain",sprain,thumb,left
"arizona diamondbacks placed ss didi gregorius on the 15-day disabled list retroactive to march 30, 2013. right elbow strain.",strain,elbow,right
"arizona diamondbacks placed ss didi gregorius on the 7-day disabled list retroactive to april 27, 2013. mild concussion.",concussion,concussion,NA
"arizona diamondbacks placed ss john mcdonald on the 15-day disabled list retroactive to june 25, 2012. strained left oblique.",strain,oblique,left
arizona diamondbacks placed ss nick ahmed on the 10-day disabled list. fractured right hand.,fracture,hand,right
arizona diamondbacks placed ss nick ahmed on the 15-day disabled list. right hip impingement.,impingement,hip,right
"arizona diamondbacks placed ss stephen drew on the 15-day disabled list retroactive to march 26, 2012. recovering from july 2011 right ankle surgery.",surgery,ankle,right
arizona diamondbacks placed ss stephen drew on the 15-day disabled list. fractured right ankle,fracture,ankle,right
"arizona diamondbacks placed ss willie bloomquist on the 15-day disabled list retroactive to august 9, 2012. strained lower back.",strain,lower back,NA
"arizona diamondbacks placed ss willie bloomquist on the 15-day disabled list retroactive to march 27, 2013. right intercostal strain.",strain,intercostal,right
"atlanta braves placed 1b casey kotchman on the 15-day disabled list retroactive to june 1, 2009. strained right calf",strain,calf,right
atlanta braves placed 1b freddie freeman on the 10-day disabled list. left wrist fracture.,fracture,wrist,left
"atlanta braves placed 1b freddie freeman on the 15-day disabled list retroactive to june 18, 2015. right wrist contusion",contusion,wrist,right
atlanta braves placed 1b freddie freeman on the 15-day disabled list. strained right oblique,strain,oblique,right
atlanta braves placed 1b freddie freeman on the 15-day disabled list. strained right oblique.,strain,oblique,right
atlanta braves placed 1b greg norton on the 15-day disabled list. strained right hamstring.,strain,hamstring,right
atlanta braves placed 1b sean rodriguez on the 60-day disabled list. recovering from shoulder surgery,surgery,shoulder,NA
atlanta braves placed 1b troy glaus on the 15-day disabled list. sore left knee,sore,knee,left
atlanta braves placed 2b dan uggla on the 15-day disabled list. eye surgery.,surgery,eye,NA
atlanta braves placed 2b kelly johnson on the 15-day disabled list. right wrist tendonitis,tendonitis,wrist,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b martin prado on the 15-day disabled list retroactive to july 31, 2010. fractured right pinky finger.",fracture,pinky,right
"atlanta braves placed 2b micah johnson on the 10-day disabled list retroactive to march 30, 2017. fractured left wrist.",fracture,wrist,left
atlanta braves placed 2b phil gosselin on the 15-day disabled list. avulsion fracture in his left thumb,fracture,thumb,left
"atlanta braves placed 2b ramiro pena on the 15-day disabled list retroactive to june 17, 2013. right shoulder injury.",injury,shoulder,right
"atlanta braves placed 2b tyler pastornicky on the 15-day disabled list retroactive to august 15, 2013. torn acl in his left knee.",torn,acl,left
"atlanta braves placed 2b tyler pastornicky on the 15-day disabled list retroactive to august 15, 2013. torn acl in his left knee.",torn,knee,left
"atlanta braves placed 3b adonis garcia on the 10-day disabled list retroactive to may 16, 2017. left achilles tendinitis",tendinitis,achilles,left
atlanta braves placed 3b adonis garcia on the 10-day disabled list. sprained left ring finger,sprain,ring finger,left
atlanta braves placed 3b blake dewitt on the 15-day disabled list. lower back strain.,strain,lower back,NA
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to august 11, 2010. torn acl in his left knee.",torn,acl,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to august 11, 2010. torn acl in his left knee.",torn,hip,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to august 11, 2010. torn acl in his left knee.",torn,knee,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to march 26, 2012. meniscus tear in his left knee.",tear,ear,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to march 26, 2012. meniscus tear in his left knee.",tear,hip,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to march 26, 2012. meniscus tear in his left knee.",tear,knee,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to march 26, 2012. meniscus tear in his left knee.",tear,meniscus,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to may 24, 2012. bruised left calf.",bruise,calf,left
"atlanta braves placed 3b chipper jones on the 15-day disabled list retroactive to may 24, 2012. bruised left calf.",bruise,hip,left
atlanta braves placed 3b chipper jones on the 15-day disabled list. ttorn meniscus in his right knee.,torn,hip,right
atlanta braves placed 3b chipper jones on the 15-day disabled list. ttorn meniscus in his right knee.,torn,knee,right
atlanta braves placed 3b chipper jones on the 15-day disabled list. ttorn meniscus in his right knee.,torn,meniscus,right
atlanta braves placed 3b chris johnson on the 15-day disabled list. fractured left hand,fracture,hand,left
"atlanta braves placed 3b gordon beckham on the 15-day disabled list retroactive to april 17, 2016. strained left hamstring",strain,hamstring,left
atlanta braves placed 3b gordon beckham on the 15-day disabled list. left hamstring strain,strain,hamstring,left
"atlanta braves placed 3b johan camargo on the 10-day disabled list retroactive to march 26, 2018. right oblique muscle strain.",strain,oblique,right
